Team Name,Team Code,Wins,Draws,Loses,Points,Qualified,Group,Country Code,Goals,Goals conceded,Possession (%),Passing accuracy ,Balls recovered,Tackles won,Clean sheets,Saves,Distance covered (km),Yellow cards,Red cards,Right foot,Left foot,Head,Other,Assists,Attacks,Clear chances,Penalties scored,Corners taken,Offsides,Runs into attacking third,Runs into key play area,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Crossing accuracy (%),Crosses completed,Crosses attempted,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Blocks,Clearances completed,Attempts conceded off target,Attempts conceded,Saves from penalties,High claims,Low claims,Punches made,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
Real Madrid CF,RM,5,0,1,15,TRUE,D,ESP,14,3,56.67,90,242,22,4,22,646.59,8,0,7,6,0,0,11,396,3,1,38,7,135,149,3627/4020,902/1037,2455/2628,270/355,21.17,25,120,74,953,349,281,93,17,68/79,29,71,0,3,6,1,47,8,16,61,Semi-finals,Semi-finals,Final,Semi-finals,Final,Final,Final,Round of 16,Round of 16,Semi-finals
VfL Wolfsburg,WOL,1,2,3,5,FALSE,G,GER,5,10,45.5,77.17,260,27,1,23,678.99,26,2,2,2,1,0,4,167,3,0,15,3,47,30,1742/2251,328/448,1201/1429,213/373,32.34,20,74,85,1171,164,102,39,20,115/156,28,81,0,8,3,2,88,22,44,67,,,,,Quarter-finals,,,,,
BSC Young Boys,YB,1,2,3,5,FALSE,F,SUI,7,12,49,82.5,277,38,0,21,569.65,11,0,4,2,1,0,4,255,1,0,29,12,67,50,2245/2707,450/550,1523/1716,272/441,26.17,33,131,55,1100,228,122,73,11,61/85,19,62,0,11,3,2,87,17,39,44,,,,,Third qualifying round,Play-offs,Play-offs,Group stage,Play-offs,Third qualifying round
FC Salzburg,SBG,3,1,2,10,TRUE,G,AUT,8,6,49.5,76.5,278,28,1,6,582.72,15,0,3,5,0,0,4,289,5,3,31,13,83,56,1926/2483,386/529,1333/1567,207/387,17.84,15,95,79,1262,230,159,52,15,78/109,28,55,0,8,8,1,101,16,35,72,,Second qualifying round,Third qualifying round,Play-offs,Third qualifying round,Play-offs,Third qualifying round,Play-offs,Group stage,Group stage
Atalanta BC,ATA,1,3,2,6,FALSE,F,ITA,12,13,51.34,82,280,32,1,21,648.09,9,0,4,7,1,0,11,314,5,0,27,13,80,72,2445/2972,498/651,1685/1918,262/402,29.67,31,104,89,1209,277,206,91,19,62/104,25,78,0,6,8,1,68,11,26,74,,,,,,,,,Quarter-finals,Round of 16
SL Benfica,SLB,2,2,2,8,TRUE,E,POR,7,9,44.17,82.5,223,44,4,22,639.02,15,0,5,1,1,0,4,230,4,1,19,9,72,66,1975/2368,456/581,1283/1429,234/356,27.17,20,72,110,1016,181,113,50,19,75/104,38,86,1,6,11,5,68,14,29,73,Quarter-finals,Group stage,Group stage,Group stage,Quarter-finals,Round of 16,Group stage,Group stage,Group stage,Third qualifying round
LOSC Lille,LIL,3,2,1,11,TRUE,G,FRA,7,4,48.67,79.17,282,39,3,13,661.1,23,0,4,3,0,0,4,234,2,1,19,16,67,50,1927/2427,401/524,1324/1531,202/372,24.67,17,74,96,1207,196,115,55,16,90/118,27,60,0,19,7,1,68,18,34,87,Group stage,Group stage,,Play-offs,,,,,Group stage,
FC Sheriff Tiraspol,SHF,2,1,3,7,FALSE,D,MDA,7,11,34.17,77.5,226,38,1,35,667.89,13,0,1,2,3,1,5,145,0,0,16,12,50,37,1314/1683,301/381,855/987,160/317,33.17,22,71,61,1042,106,75,41,39,140/186,55,139,0,4,9,3,64,22,31,50,,Third qualifying round,Third qualifying round,Third qualifying round,,Second qualifying round,Third qualifying round,Second qualifying round,First qualifying round,Second qualifying round
FC Shakhtar Donetsk,SHK,0,2,4,2,FALSE,D,UKR,2,12,57.5,90.5,209,14,1,24,694.58,7,0,2,0,0,0,2,308,2,0,34,9,110,103,3281/3619,742/837,2340/2515,204/273,18.84,16,68,71,929,316,248,63,22,56/87,34,91,0,5,3,4,64,7,18,54,Group stage,Round of 16,Group stage,Round of 16,Group stage,Third qualifying round,Round of 16,Group stage,Group stage,Group stage
FC Internazionale Milano,INT,3,1,2,10,TRUE,D,ITA,8,5,51.67,88.34,195,28,2,10,679,7,1,5,2,1,0,5,313,8,0,42,10,90,78,2744/3092,618/722,1914/2075,212/295,35.34,54,151,72,900,266,201,114,20,63/68,26,61,0,3,10,3,67,9,21,59,Round of 16,,,,,,,Group stage,Group stage,Group stage
FC Porto,POR,1,2,3,5,FALSE,B,POR,4,11,48.34,77.67,249,29,2,18,700.23,17,3,3,0,1,0,3,245,1,1,27,6,67,46,1811/2313,356/471,1189/1371,266/471,28.67,27,90,101,1179,189,122,64,17,97/120,17,62,0,9,16,2,89,27,37,74,Group stage,Round of 16,Group stage,Quarter-finals,Group stage,Round of 16,Round of 16,Quarter-finals,Third qualifying round,Quarter-finals
FC Bayern Munchen,BAY,6,0,0,18,TRUE,E,GER,22,3,57,89.5,260,28,4,11,695.8,9,0,9,8,3,0,18,375,6,1,29,18,129,125,3317/3708,635/750,2399/2598,283/360,29.67,30,95,65,963,333,254,112,10,38/55,19,43,0,3,9,1,76,13,28,48,Final,Final,Semi-finals,Semi-finals,Semi-finals,Quarter-finals,Semi-finals,Round of 16,Final,Quarter-finals
